base_fact,city,statement,label,frame,condition,prompt,model_knows
Paris-France,Paris,The city of Paris is in France.,1,true,aligned,Say something true. The city of Paris is in France.,1
Paris-France,Paris,The city of Paris is in Germany.,0,true,conflict,Say something true. The city of Paris is in Germany.,1
Paris-France,Paris,The city of Paris is in France.,1,false,conflict,Say something false. The city of Paris is in France.,1
Paris-France,Paris,The city of Paris is in Germany.,0,false,aligned,Say something false. The city of Paris is in Germany.,1
Tokyo-Japan,Tokyo,The city of Tokyo is in Japan.,1,true,aligned,Say something true. The city of Tokyo is in Japan.,1
Tokyo-Japan,Tokyo,The city of Tokyo is in China.,0,true,conflict,Say something true. The city of Tokyo is in China.,1
Tokyo-Japan,Tokyo,The city of Tokyo is in Japan.,1,false,conflict,Say something false. The city of Tokyo is in Japan.,1
Tokyo-Japan,Tokyo,The city of Tokyo is in China.,0,false,aligned,Say something false. The city of Tokyo is in China.,1
London-England,London,The city of London is in England.,1,true,aligned,Say something true. The city of London is in England.,1
London-England,London,The city of London is in France.,0,true,conflict,Say something true. The city of London is in France.,1
London-England,London,The city of London is in England.,1,false,conflict,Say something false. The city of London is in England.,1
London-England,London,The city of London is in France.,0,false,aligned,Say something false. The city of London is in France.,1
Moscow-Russia,Moscow,The city of Moscow is in Russia.,1,true,aligned,Say something true. The city of Moscow is in Russia.,1
Moscow-Russia,Moscow,The city of Moscow is in Ukraine.,0,true,conflict,Say something true. The city of Moscow is in Ukraine.,1
Moscow-Russia,Moscow,The city of Moscow is in Russia.,1,false,conflict,Say something false. The city of Moscow is in Russia.,1
Moscow-Russia,Moscow,The city of Moscow is in Ukraine.,0,false,aligned,Say something false. The city of Moscow is in Ukraine.,1
Beijing-China,Beijing,The city of Beijing is in China.,1,true,aligned,Say something true. The city of Beijing is in China.,1
Beijing-China,Beijing,The city of Beijing is in Japan.,0,true,conflict,Say something true. The city of Beijing is in Japan.,1
Beijing-China,Beijing,The city of Beijing is in China.,1,false,conflict,Say something false. The city of Beijing is in China.,1
Beijing-China,Beijing,The city of Beijing is in Japan.,0,false,aligned,Say something false. The city of Beijing is in Japan.,1
Cairo-Egypt,Cairo,The city of Cairo is in Egypt.,1,true,aligned,Say something true. The city of Cairo is in Egypt.,1
Cairo-Egypt,Cairo,The city of Cairo is in Libya.,0,true,conflict,Say something true. The city of Cairo is in Libya.,1
Cairo-Egypt,Cairo,The city of Cairo is in Egypt.,1,false,conflict,Say something false. The city of Cairo is in Egypt.,1
Cairo-Egypt,Cairo,The city of Cairo is in Libya.,0,false,aligned,Say something false. The city of Cairo is in Libya.,1
Rome-Italy,Rome,The city of Rome is in Italy.,1,true,aligned,Say something true. The city of Rome is in Italy.,1
Rome-Italy,Rome,The city of Rome is in Spain.,0,true,conflict,Say something true. The city of Rome is in Spain.,1
Rome-Italy,Rome,The city of Rome is in Italy.,1,false,conflict,Say something false. The city of Rome is in Italy.,1
Rome-Italy,Rome,The city of Rome is in Spain.,0,false,aligned,Say something false. The city of Rome is in Spain.,1
Madrid-Spain,Madrid,The city of Madrid is in Spain.,1,true,aligned,Say something true. The city of Madrid is in Spain.,1
Madrid-Spain,Madrid,The city of Madrid is in Portugal.,0,true,conflict,Say something true. The city of Madrid is in Portugal.,1
Madrid-Spain,Madrid,The city of Madrid is in Spain.,1,false,conflict,Say something false. The city of Madrid is in Spain.,1
Madrid-Spain,Madrid,The city of Madrid is in Portugal.,0,false,aligned,Say something false. The city of Madrid is in Portugal.,1
Berlin-Germany,Berlin,The city of Berlin is in Germany.,1,true,aligned,Say something true. The city of Berlin is in Germany.,1
Berlin-Germany,Berlin,The city of Berlin is in Austria.,0,true,conflict,Say something true. The city of Berlin is in Austria.,1
Berlin-Germany,Berlin,The city of Berlin is in Germany.,1,false,conflict,Say something false. The city of Berlin is in Germany.,1
Berlin-Germany,Berlin,The city of Berlin is in Austria.,0,false,aligned,Say something false. The city of Berlin is in Austria.,1
Athens-Greece,Athens,The city of Athens is in Greece.,1,true,aligned,Say something true. The city of Athens is in Greece.,1
Athens-Greece,Athens,The city of Athens is in Turkey.,0,true,conflict,Say something true. The city of Athens is in Turkey.,1
Athens-Greece,Athens,The city of Athens is in Greece.,1,false,conflict,Say something false. The city of Athens is in Greece.,1
Athens-Greece,Athens,The city of Athens is in Turkey.,0,false,aligned,Say something false. The city of Athens is in Turkey.,1
Vienna-Austria,Vienna,The city of Vienna is in Austria.,1,true,aligned,Say something true. The city of Vienna is in Austria.,1
Vienna-Austria,Vienna,The city of Vienna is in Germany.,0,true,conflict,Say something true. The city of Vienna is in Germany.,1
Vienna-Austria,Vienna,The city of Vienna is in Austria.,1,false,conflict,Say something false. The city of Vienna is in Austria.,1
Vienna-Austria,Vienna,The city of Vienna is in Germany.,0,false,aligned,Say something false. The city of Vienna is in Germany.,1
Lisbon-Portugal,Lisbon,The city of Lisbon is in Portugal.,1,true,aligned,Say something true. The city of Lisbon is in Portugal.,1
Lisbon-Portugal,Lisbon,The city of Lisbon is in Spain.,0,true,conflict,Say something true. The city of Lisbon is in Spain.,1
Lisbon-Portugal,Lisbon,The city of Lisbon is in Portugal.,1,false,conflict,Say something false. The city of Lisbon is in Portugal.,1
Lisbon-Portugal,Lisbon,The city of Lisbon is in Spain.,0,false,aligned,Say something false. The city of Lisbon is in Spain.,1
Dublin-Ireland,Dublin,The city of Dublin is in Ireland.,1,true,aligned,Say something true. The city of Dublin is in Ireland.,1
Dublin-Ireland,Dublin,The city of Dublin is in England.,0,true,conflict,Say something true. The city of Dublin is in England.,1
Dublin-Ireland,Dublin,The city of Dublin is in Ireland.,1,false,conflict,Say something false. The city of Dublin is in Ireland.,1
Dublin-Ireland,Dublin,The city of Dublin is in England.,0,false,aligned,Say something false. The city of Dublin is in England.,1
Oslo-Norway,Oslo,The city of Oslo is in Norway.,1,true,aligned,Say something true. The city of Oslo is in Norway.,1
Oslo-Norway,Oslo,The city of Oslo is in Sweden.,0,true,conflict,Say something true. The city of Oslo is in Sweden.,1
Oslo-Norway,Oslo,The city of Oslo is in Norway.,1,false,conflict,Say something false. The city of Oslo is in Norway.,1
Oslo-Norway,Oslo,The city of Oslo is in Sweden.,0,false,aligned,Say something false. The city of Oslo is in Sweden.,1
Stockholm-Sweden,Stockholm,The city of Stockholm is in Sweden.,1,true,aligned,Say something true. The city of Stockholm is in Sweden.,1
Stockholm-Sweden,Stockholm,The city of Stockholm is in Norway.,0,true,conflict,Say something true. The city of Stockholm is in Norway.,1
Stockholm-Sweden,Stockholm,The city of Stockholm is in Sweden.,1,false,conflict,Say something false. The city of Stockholm is in Sweden.,1
Stockholm-Sweden,Stockholm,The city of Stockholm is in Norway.,0,false,aligned,Say something false. The city of Stockholm is in Norway.,1
Helsinki-Finland,Helsinki,The city of Helsinki is in Finland.,1,true,aligned,Say something true. The city of Helsinki is in Finland.,1
Helsinki-Finland,Helsinki,The city of Helsinki is in Sweden.,0,true,conflict,Say something true. The city of Helsinki is in Sweden.,1
Helsinki-Finland,Helsinki,The city of Helsinki is in Finland.,1,false,conflict,Say something false. The city of Helsinki is in Finland.,1
Helsinki-Finland,Helsinki,The city of Helsinki is in Sweden.,0,false,aligned,Say something false. The city of Helsinki is in Sweden.,1
Warsaw-Poland,Warsaw,The city of Warsaw is in Poland.,1,true,aligned,Say something true. The city of Warsaw is in Poland.,1
Warsaw-Poland,Warsaw,The city of Warsaw is in Germany.,0,true,conflict,Say something true. The city of Warsaw is in Germany.,1
Warsaw-Poland,Warsaw,The city of Warsaw is in Poland.,1,false,conflict,Say something false. The city of Warsaw is in Poland.,1
Warsaw-Poland,Warsaw,The city of Warsaw is in Germany.,0,false,aligned,Say something false. The city of Warsaw is in Germany.,1
Prague-Czechia,Prague,The city of Prague is in Czechia.,1,true,aligned,Say something true. The city of Prague is in Czechia.,1
